train_sigma,seed,method,epoch,train_loss,val_loss
train_sigma_0.01,seed123,cnn_pinn_log,1,0.46917232672373455,0.04219622164964676
train_sigma_0.01,seed123,cnn_pinn_log,2,0.2738809963067373,0.043386366218328476
train_sigma_0.01,seed123,cnn_pinn_log,3,0.19929125905036926,0.05480237677693367
train_sigma_0.01,seed123,cnn_pinn_log,4,0.17373764514923096,0.04583897814154625
train_sigma_0.01,seed123,cnn_pinn_log,5,0.1596849943200747,0.05379938706755638
train_sigma_0.01,seed123,cnn_pinn_log,6,0.13682706256707508,0.041452787816524506
train_sigma_0.01,seed123,cnn_pinn_log,7,0.0937663733959198,0.036394715309143066
train_sigma_0.01,seed123,cnn_pinn_log,8,0.045896021525065105,0.03389417380094528
train_sigma_0.01,seed123,cnn_pinn_log,9,0.03422987659772237,0.053291674703359604
train_sigma_0.01,seed123,cnn_pinn_log,10,0.0281742791334788,0.08109652996063232
train_sigma_0.01,seed123,cnn_pinn_log,11,0.026643181219697,0.09157019853591919
train_sigma_0.01,seed123,cnn_pinn_log,12,0.02557526615758737,0.09556760638952255
train_sigma_0.01,seed123,cnn_pinn_log,13,0.025079064816236497,0.09771379083395004
train_sigma_0.01,seed123,cnn_pinn_log,14,0.024844305093089738,0.09813034534454346
train_sigma_0.01,seed123,cnn_pinn_log,15,0.024626866603891056,0.09925775974988937
train_sigma_0.01,seed123,cnn_pinn_log,16,0.024977254246671996,0.0981343537569046
train_sigma_0.01,seed123,cnn_pinn_log,17,0.02401761958996455,0.09858182072639465
train_sigma_0.01,seed123,cnn_pinn_log,18,0.023429051414132117,0.09912315756082535
train_sigma_0.01,seed123,cnn_pinn_log,19,0.02332125815252463,0.10039252042770386
train_sigma_0.01,seed123,cnn_pinn_log,20,0.023653563981254896,0.10064371675252914
train_sigma_0.01,seed123,cnn_pinn_log,21,0.02326993594566981,0.10159097611904144
train_sigma_0.01,seed123,cnn_pinn_log,22,0.022835599382718404,0.1018964946269989
train_sigma_0.01,seed123,cnn_pinn_log,23,0.022639817371964455,0.10302198678255081
train_sigma_0.01,seed123,cnn_pinn_log,24,0.022412366047501565,0.10341628640890121
train_sigma_0.01,seed123,cnn_pinn_log,25,0.02261518786350886,0.10456734150648117
train_sigma_0.01,seed123,cnn_pinn_log,26,0.022446034972866378,0.1045830249786377
train_sigma_0.01,seed123,cnn_pinn_log,27,0.02221333806713422,0.1052279993891716
train_sigma_0.01,seed123,cnn_pinn_log,28,0.022144446273644765,0.10581944137811661
train_sigma_0.01,seed123,cnn_pinn_log,29,0.022193144882718722,0.1059742346405983
train_sigma_0.01,seed123,cnn_pinn_log,30,0.022216049705942473,0.10638238489627838
train_sigma_0.01,seed123,cnn_pinn_log,31,0.02193693524847428,0.10672207176685333
train_sigma_0.01,seed123,cnn_pinn_log,32,0.02199494168162346,0.10651037842035294
train_sigma_0.01,seed123,cnn_pinn_log,33,0.022118651246031126,0.10710546374320984
train_sigma_0.01,seed123,cnn_pinn_log,34,0.021611647369960945,0.10706769675016403
train_sigma_0.01,seed123,cnn_pinn_log,35,0.02133702946205934,0.10770060122013092
train_sigma_0.01,seed123,cnn_pinn_log,36,0.021290912541250387,0.10799223929643631
train_sigma_0.01,seed123,cnn_pinn_log,37,0.02127841810385386,0.10851217806339264
train_sigma_0.01,seed123,cnn_pinn_log,38,0.02115829543521007,0.10873881727457047
train_sigma_0.01,seed123,cnn_pinn_log,39,0.021340751151243845,0.1091824397444725
train_sigma_0.01,seed123,cnn_pinn_log,40,0.021256966268022856,0.10929231345653534
train_sigma_0.01,seed123,cnn_pinn_log,41,0.021593463545044263,0.10935945063829422
train_sigma_0.01,seed123,cnn_pinn_log,42,0.021497570102413495,0.10927505046129227
train_sigma_0.01,seed123,cnn_pinn_log,43,0.021057882780830064,0.1090644970536232
train_sigma_0.01,seed123,cnn_pinn_log,44,0.02079912945628166,0.10931063443422318
train_sigma_0.01,seed123,cnn_pinn_log,45,0.020667071143786114,0.10959687829017639
train_sigma_0.01,seed123,cnn_pinn_log,46,0.0206864013026158,0.10986441373825073
train_sigma_0.01,seed123,cnn_pinn_log,47,0.020555671428640683,0.11013035476207733
train_sigma_0.01,seed123,cnn_pinn_log,48,0.02055252604186535,0.11036957800388336
train_sigma_0.01,seed123,cnn_pinn_log,49,0.020605470860997836,0.110635906457901
train_sigma_0.01,seed123,cnn_pinn_log,50,0.02059904585282008,0.11080008745193481
train_sigma_0.01,seed123,cnn_supervised,1,0.07108440200487773,0.06749902665615082
train_sigma_0.01,seed123,cnn_supervised,2,0.0632938509186109,0.05354652553796768
train_sigma_0.01,seed123,cnn_supervised,3,0.042663596818844476,0.033546529710292816
train_sigma_0.01,seed123,cnn_supervised,4,0.03599233826001485,0.030050983652472496
train_sigma_0.01,seed123,cnn_supervised,5,0.029795922338962555,0.027018751949071884
train_sigma_0.01,seed123,cnn_supervised,6,0.02601605492333571,0.02259846217930317
train_sigma_0.01,seed123,cnn_supervised,7,0.020669895286361376,0.01627962477505207
train_sigma_0.01,seed123,cnn_supervised,8,0.01442505574474732,0.013420253992080688
train_sigma_0.01,seed123,cnn_supervised,9,0.014032636831204096,0.013648537918925285
train_sigma_0.01,seed123,cnn_supervised,10,0.013128924742341041,0.012533278204500675
train_sigma_0.01,seed123,cnn_supervised,11,0.012841227774818739,0.01249776966869831
train_sigma_0.01,seed123,cnn_supervised,12,0.012504847968618076,0.012148966081440449
train_sigma_0.01,seed123,cnn_supervised,13,0.012262909300625324,0.011936260387301445
train_sigma_0.01,seed123,cnn_supervised,14,0.012072431047757466,0.01178047712892294
train_sigma_0.01,seed123,cnn_supervised,15,0.011939974191288153,0.01178485807031393
train_sigma_0.01,seed123,cnn_supervised,16,0.01181400337566932,0.011621439829468727
train_sigma_0.01,seed123,cnn_supervised,17,0.011707389851411183,0.011552685871720314
train_sigma_0.01,seed123,cnn_supervised,18,0.011654776769379776,0.011475665494799614
train_sigma_0.01,seed123,cnn_supervised,19,0.011562530199686687,0.01146471593528986
train_sigma_0.01,seed123,cnn_supervised,20,0.011568597269554932,0.011429944075644016
train_sigma_0.01,seed123,cnn_supervised,21,0.011531946063041688,0.011356926523149014
train_sigma_0.01,seed123,cnn_supervised,22,0.011510560847818851,0.011296599172055721
train_sigma_0.01,seed123,cnn_supervised,23,0.011460554475585619,0.011298985220491886
train_sigma_0.01,seed123,cnn_supervised,24,0.011367336474359035,0.011241257190704346
train_sigma_0.01,seed123,cnn_supervised,25,0.011343737939993541,0.01122633833438158
train_sigma_0.01,seed123,cnn_supervised,26,0.011300037863353889,0.01117029320448637
train_sigma_0.01,seed123,cnn_supervised,27,0.011309083985785643,0.011144852265715599
train_sigma_0.01,seed123,cnn_supervised,28,0.011239968861142794,0.011343364603817463
train_sigma_0.01,seed123,cnn_supervised,29,0.011301539093255996,0.011130975559353828
train_sigma_0.01,seed123,cnn_supervised,30,0.01130968692402045,0.0112594123929739
train_sigma_0.01,seed123,cnn_supervised,31,0.011245523517330488,0.011053724214434624
train_sigma_0.01,seed123,cnn_supervised,32,0.01116916500031948,0.011064334772527218
train_sigma_0.01,seed123,cnn_supervised,33,0.011137728330989678,0.0109865115955472
train_sigma_0.01,seed123,cnn_supervised,34,0.01117293412486712,0.01096661202609539
train_sigma_0.01,seed123,cnn_supervised,35,0.011053569676975409,0.010971437208354473
train_sigma_0.01,seed123,cnn_supervised,36,0.011089974952240785,0.010922325775027275
train_sigma_0.01,seed123,cnn_supervised,37,0.011010201772054036,0.010907511226832867
train_sigma_0.01,seed123,cnn_supervised,38,0.011010393872857094,0.010886488482356071
train_sigma_0.01,seed123,cnn_supervised,39,0.010962701216340066,0.010887069627642632
train_sigma_0.01,seed123,cnn_supervised,40,0.010966802512605985,0.010845567099750042
train_sigma_0.01,seed123,cnn_supervised,41,0.010904838268955549,0.010831963270902634
train_sigma_0.01,seed123,cnn_supervised,42,0.010886577020088831,0.010865763761103153
train_sigma_0.01,seed123,cnn_supervised,43,0.010889331499735514,0.0107925646007061
train_sigma_0.01,seed123,cnn_supervised,44,0.010859892206887404,0.010820782743394375
train_sigma_0.01,seed123,cnn_supervised,45,0.01088021049896876,0.01076002512127161
train_sigma_0.01,seed123,cnn_supervised,46,0.010859070035318533,0.010760203003883362
train_sigma_0.01,seed123,cnn_supervised,47,0.010821873570481937,0.01075472217053175
train_sigma_0.01,seed123,cnn_supervised,48,0.010806584358215332,0.010726407170295715
train_sigma_0.01,seed123,cnn_supervised,49,0.010786491135756174,0.01080823503434658
train_sigma_0.01,seed123,cnn_supervised,50,0.010819461072484653,0.010717562399804592
train_sigma_0.01,seed123,pinn_log,1,0.708346371557867,0.5365000367164612
train_sigma_0.01,seed123,pinn_log,2,0.5510394615390404,0.6311801671981812
train_sigma_0.01,seed123,pinn_log,3,0.48913836025039087,0.45882585644721985
train_sigma_0.01,seed123,pinn_log,4,0.4570126361173033,0.45353683829307556
train_sigma_0.01,seed123,pinn_log,5,0.41802998619340737,0.4006919264793396
train_sigma_0.01,seed123,pinn_log,6,0.34277645409329494,0.30956751108169556
train_sigma_0.01,seed123,pinn_log,7,0.1922806022100006,0.19235756993293762
train_sigma_0.01,seed123,pinn_log,8,0.1282825166115407,0.1900368630886078
train_sigma_0.01,seed123,pinn_log,9,0.12033236544134843,0.18680691719055176
train_sigma_0.01,seed123,pinn_log,10,0.11735766766105811,0.18563684821128845
train_sigma_0.01,seed123,pinn_log,11,0.11496545143030394,0.1816057562828064
train_sigma_0.01,seed123,pinn_log,12,0.11312630604595753,0.1803760826587677
train_sigma_0.01,seed123,pinn_log,13,0.11146623778763394,0.17726987600326538
train_sigma_0.01,seed123,pinn_log,14,0.109897227311996,0.17592839896678925
train_sigma_0.01,seed123,pinn_log,15,0.10840193276051298,0.17409640550613403
train_sigma_0.01,seed123,pinn_log,16,0.10704298372327403,0.17327852547168732
train_sigma_0.01,seed123,pinn_log,17,0.10573041036956937,0.17082203924655914
train_sigma_0.01,seed123,pinn_log,18,0.10464299359857201,0.17116305232048035
train_sigma_0.01,seed123,pinn_log,19,0.10370981803003763,0.16645614802837372
train_sigma_0.01,seed123,pinn_log,20,0.10269938007165676,0.1661696434020996
train_sigma_0.01,seed123,pinn_log,21,0.10195497522123183,0.16358305513858795
train_sigma_0.01,seed123,pinn_log,22,0.10140756687870765,0.1659720093011856
train_sigma_0.01,seed123,pinn_log,23,0.10073617807849782,0.16427922248840332
train_sigma_0.01,seed123,pinn_log,24,0.10017654756217705,0.16171085834503174
train_sigma_0.01,seed123,pinn_log,25,0.09964483795095727,0.16130588948726654
train_sigma_0.01,seed123,pinn_log,26,0.09923212324894853,0.15963588654994965
train_sigma_0.01,seed123,pinn_log,27,0.09878340399518948,0.1605226695537567
train_sigma_0.01,seed123,pinn_log,28,0.09840365369866658,0.1586274653673172
train_sigma_0.01,seed123,pinn_log,29,0.09802808499224161,0.1595270186662674
