train_sigma,seed,method,best_val_loss,final_train_loss,best_epoch
train_sigma_0.01,seed123,cnn_pinn_log,0.03389417380094528,0.02059904585282008,8
train_sigma_0.01,seed123,cnn_supervised,0.010717562399804592,0.010819461072484653,50
train_sigma_0.01,seed123,pinn_log,0.15397343039512634,0.09302052719540718,49
train_sigma_0.01,seed123,pinn_log_predict_s0,0.16461828351020813,0.08800788047607438,50
train_sigma_0.01,seed123,pinn_log_rician,0.15365442633628845,0.11773243887456716,45
train_sigma_0.01,seed123,pinn_log_rician_predict_s0,0.1662079244852066,0.11423260480171844,26
train_sigma_0.01,seed123,semi_supervised,0.13488653302192688,0.11609493572074232,49
train_sigma_0.01,seed123,supervised,0.04377467930316925,0.04467497783232258,50
train_sigma_0.01,seed42,cnn_pinn_log,0.032613325864076614,0.018860704265534878,2
train_sigma_0.01,seed42,cnn_supervised,0.010199756361544132,0.01072477176785469,49
train_sigma_0.01,seed42,pinn_log,0.14573684334754944,0.08266579444755938,49
train_sigma_0.01,seed42,pinn_log_predict_s0,0.1650163233280182,0.08594057305745699,50
train_sigma_0.01,seed42,pinn_log_rician,0.1470288783311844,0.10847715453109183,48
train_sigma_0.01,seed42,pinn_log_rician_predict_s0,0.166703000664711,0.10798994945492177,21
train_sigma_0.01,seed42,semi_supervised,0.13401281833648682,0.11453407845262294,50
train_sigma_0.01,seed42,supervised,0.044496648013591766,0.04328745013109037,50
train_sigma_0.01,seed514,cnn_pinn_log,0.03152421489357948,0.021214194719990094,2
train_sigma_0.01,seed514,cnn_supervised,0.010418407618999481,0.010503222793340683,49
train_sigma_0.01,seed514,pinn_log,0.14617162942886353,0.0928368252967497,50
train_sigma_0.01,seed514,pinn_log_predict_s0,0.15915372967720032,0.09250493710909082,26
train_sigma_0.01,seed514,pinn_log_rician,0.14853227138519287,0.12068975989699197,50
train_sigma_0.01,seed514,pinn_log_rician_predict_s0,0.15832796692848206,0.11669676911004026,29
train_sigma_0.01,seed514,semi_supervised,0.13495232164859772,0.11964637086715467,49
train_sigma_0.01,seed514,supervised,0.040571942925453186,0.040888293983091996,50
train_sigma_0.03,seed123,cnn_pinn_log,0.028692366555333138,0.044804840038220085,2
train_sigma_0.03,seed123,cnn_supervised,0.011327319778501987,0.011050581249097984,49
train_sigma_0.03,seed123,pinn_log,0.19950422644615173,0.17748600120500777,26
train_sigma_0.03,seed123,pinn_log_predict_s0,0.23027551174163818,0.15339971306613528,6
train_sigma_0.03,seed123,pinn_log_rician,0.200522318482399,0.1826400825804202,28
train_sigma_0.03,seed123,pinn_log_rician_predict_s0,0.2517455220222473,0.1548873120247916,6
train_sigma_0.03,seed123,semi_supervised,0.14994049072265625,0.17407565164194036,45
